league,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,total_kills
LPL,Royal Never Give Up,FunPlus Phoenix,Jax,Viego,Orianna,Ashe,Braum,K'Sante,Vi,Aurora,Kalista,Neeko,21
LPL,Royal Never Give Up,FunPlus Phoenix,Ambessa,Lee Sin,Akali,Varus,Nautilus,Jayce,Wukong,Sylas,Miss Fortune,Rakan,30
LCKC,DRX Challengers,Gen.G Global Academy,Ambessa,Skarner,Azir,Corki,Renata Glasc,K'Sante,Nocturne,Aurora,Aphelios,Rakan,12
LPL,FunPlus Phoenix,Royal Never Give Up,Gnar,Sejuani,Taliyah,Jinx,Rell,Renekton,Xin Zhao,Ahri,Aphelios,Thresh,20
LCKC,Gen.G Global Academy,DRX Challengers,Jax,Sejuani,Akali,Ezreal,Leona,Rumble,Vi,Galio,Jhin,Poppy,31
LPL,FunPlus Phoenix,Royal Never Give Up,Udyr,Nidalee,Corki,Sivir,Leona,Aatrox,Karthus,Yone,Tristana,Alistar,31
LVP SL,Ramboot Club,ZETA,Rumble,Wukong,Orianna,Ezreal,Alistar,K'Sante,Sejuani,Hwei,Varus,Rell,21
LVP SL,LUA Gaming,Guasones,Gragas,Skarner,Yone,Ezreal,Poppy,Ambessa,Vi,Ahri,Varus,Rakan,17
LVP SL,GIANTX Pride,Veni Vidi Vici,Ambessa,Skarner,Orianna,Corki,Nautilus,Ornn,Lee Sin,Syndra,Varus,Taric,31
LVP SL,Movistar KOI Fénix,UCAM Esports,Gnar,Ivern,Corki,Ziggs,Nautilus,Jayce,Skarner,Syndra,Varus,Rell,13
LVP SL,Los Heretics,Barça eSports,Ambessa,Nocturne,Viktor,Ezreal,Rakan,K'Sante,Wukong,Azir,Varus,Leona,21
LCK,OKSavingsBank BRION,DRX,K'Sante,Skarner,Yone,Miss Fortune,Rell,Jayce,Sejuani,Viktor,Corki,Leona,20
LCK,DRX,OKSavingsBank BRION,Galio,Wukong,Aurora,Kai'Sa,Poppy,Rumble,Viego,Taliyah,Xayah,Rakan,18
LPL,Ultra Prime,Weibo Gaming,K'Sante,Wukong,Akali,Ashe,Braum,Ambessa,Vi,Aurora,Varus,Rell,37
LCK,OKSavingsBank BRION,DRX,Renekton,Brand,Yasuo,Varus,Nautilus,Gragas,Xin Zhao,Ambessa,Kalista,Renata Glasc,39
LPL,Ultra Prime,Weibo Gaming,Galio,Viego,Sylas,Kalista,Neeko,Rumble,Lee Sin,Viktor,Miss Fortune,Nautilus,30
LPL,Weibo Gaming,Ultra Prime,Jax,Pantheon,Ahri,Corki,Rakan,Gragas,Xin Zhao,Taliyah,Ezreal,Leona,23
LPL,Ultra Prime,Weibo Gaming,Udyr,Kindred,Orianna,Xayah,Bard,Gnar,Nocturne,Syndra,Jinx,Blitzcrank,27
LCK,Nongshim RedForce,DN Freecs,K'Sante,Xin Zhao,Viktor,Xayah,Rakan,Aurora,Nocturne,Orianna,Kai'Sa,Rell,27
LCK,DN Freecs,Nongshim RedForce,Jax,Ivern,Smolder,Ashe,Braum,Sion,Nidalee,Corki,Ezreal,Blitzcrank,29
NLC,Los Ratones,NORD Esports,Cho'Gath,Jarvan IV,Galio,Corki,Rell,K'Sante,Vi,Viktor,Varus,Alistar,27
LVP SL,GIANTX Pride,LUA Gaming,K'Sante,Wukong,Viktor,Ezreal,Leona,Maokai,Vi,Taliyah,Varus,Braum,26
LVP SL,UCAM Esports,Ramboot Club,Rumble,Nocturne,Azir,Corki,Rell,Galio,Wukong,Orianna,Varus,Rakan,26
NLC,Bulldog Esports,Verdant,K'Sante,Wukong,Viktor,Ezreal,Braum,Xerath,Vi,Jayce,Varus,Karma,40
LVP SL,Movistar KOI Fénix,Guasones,Rumble,Sejuani,Yone,Kalista,Renata Glasc,Maokai,Nocturne,Akali,Ashe,Seraphine,28
NLC,Lundqvist Lightside,Los Ratones,K'Sante,Wukong,Ryze,Xayah,Nautilus,Poppy,Viego,Galio,Ezreal,Alistar,34
LVP SL,Veni Vidi Vici,Los Heretics,K'Sante,Wukong,Orianna,Varus,Renata Glasc,Camille,Nocturne,Sylas,Corki,Rakan,13
NLC,Verdant,NORD Esports,Aurora,Sejuani,Yone,Miss Fortune,Nautilus,Gnar,Vi,Cassiopeia,Ashe,Braum,38
LVP SL,Barça eSports,ZETA,Maokai,Viego,Syndra,Miss Fortune,Rell,Rumble,Ivern,Ezreal,Varus,Braum,21
NLC,Bulldog Esports,Lundqvist Lightside,Rumble,Vi,Aurora,Kalista,Nautilus,K'Sante,Volibear,Ryze,Ezreal,Rell,46
LCKC,DN Freecs Challengers,OKSavingsBank BRION Challengers,Ambessa,Vi,Taliyah,Corki,Nautilus,Rumble,Xin Zhao,Yone,Varus,Rell,37
LCKC,DRX Challengers,Nongshim Esports Academy,Rumble,Vi,Ahri,Varus,Rell,Jayce,Sejuani,Corki,Ezreal,Braum,46
LCKC,KT Rolster Challengers,Hanwha Life Esports Challengers,Jax,Sejuani,Azir,Kalista,Leona,Rumble,Vi,Yone,Varus,Braum,45
LCKC,OKSavingsBank BRION Challengers,DN Freecs Challengers,Renekton,Viego,Viktor,Miss Fortune,Leona,K'Sante,Nocturne,Orianna,Kai'Sa,Rakan,32
LCKC,Nongshim Esports Academy,DRX Challengers,Maokai,Viego,Azir,Ashe,Renata Glasc,K'Sante,Xin Zhao,Sylas,Jhin,Pyke,20
LCKC,Hanwha Life Esports Challengers,KT Rolster Challengers,K'Sante,Lee Sin,Aurora,Ezreal,Rell,Ambessa,Xin Zhao,Orianna,Corki,Rakan,44
LCK,BNK FEARX,KT Rolster,Rumble,Maokai,Corki,Kai'Sa,Leona,Renekton,Zyra,Yone,Ashe,Braum,34
LCK,BNK FEARX,KT Rolster,K'Sante,Wukong,Taliyah,Zeri,Rell,Jayce,Xin Zhao,Viktor,Caitlyn,Poppy,35
LPL,LGD Gaming,Anyone's Legend,K'Sante,Lee Sin,Aurora,Varus,Rell,Jayce,Wukong,Akali,Corki,Rakan,37
LCK,KT Rolster,BNK FEARX,Jax,Sejuani,Azir,Jinx,Lulu,Ambessa,Jarvan IV,Akali,Xayah,Rakan,22
LPL,LGD Gaming,Anyone's Legend,Udyr,Sejuani,Yone,Jinx,Braum,Ambessa,Xin Zhao,Sylas,Miss Fortune,Bard,39
LCK,Dplus KIA,T1,Ambessa,Nidalee,Jayce,Ezreal,Leona,Gragas,Zyra,Yone,Ashe,Rell,16
LPL,LGD Gaming,Anyone's Legend,Rumble,Viego,Ahri,Xayah,Leona,Galio,Nocturne,LeBlanc,Kai'Sa,Alistar,51
LCK,T1,Dplus KIA,K'Sante,Xin Zhao,Viktor,Varus,Renata Glasc,Rumble,Wukong,Xerath,Corki,Rakan,24
LCK,Dplus KIA,T1,Sion,Vi,Ahri,Jinx,Braum,Jax,Poppy,Azir,Jhin,Bard,27
LVP SL,Guasones,UCAM Esports,K'Sante,Wukong,Lux,Varus,Nautilus,Gnar,Skarner,Viktor,Kalista,Leona,30
NLC,Ruddy Esports,Rich Gang,Orianna,Wukong,Ornn,Ezreal,Rell,Fiora,Viego,Viktor,Xayah,Braum,29
LVP SL,Los Heretics,LUA Gaming,K'Sante,Sejuani,Sylas,Corki,Rakan,Jax,Poppy,Viktor,Ashe,Nautilus,24
NLC,DMG Esports,Venomcrest Esports,K'Sante,Jarvan IV,Hwei,Ezreal,Leona,Rumble,Viego,Orianna,Varus,Rell,26
LVP SL,Ramboot Club,Barça eSports,Rumble,Xin Zhao,Orianna,Corki,Alistar,K'Sante,Jax,Viktor,Varus,Rell,29
NLC,Ruddy Esports,KAOS e-sport,Gnar,Skarner,Viktor,Draven,Nautilus,Maokai,Wukong,Hwei,Jinx,Leona,17
NLC,Venomcrest Esports,Rich Gang,Gnar,Amumu,Orianna,Corki,Leona,K'Sante,Wukong,Hwei,Varus,Braum,31
LVP SL,GIANTX Pride,Movistar KOI Fénix,Ambessa,Nocturne,Orianna,Varus,Alistar,Gnar,Vi,Azir,Miss Fortune,Rell,15
LVP SL,ZETA,Veni Vidi Vici,Ambessa,Skarner,Ahri,Corki,Nautilus,Sion,Brand,Yone,Xayah,Rell,30
NLC,KAOS e-sport,DMG Esports,Renekton,Jarvan IV,Azir,Corki,Nautilus,K'Sante,Vi,Syndra,Varus,Braum,17
LCKC,T1 Esports Academy,Gen.G Global Academy,Renekton,Zyra,Corki,Cassiopeia,Nautilus,Jayce,Nocturne,Aurora,Ezreal,Rakan,19
LCKC,BNK FEARX Youth,Dplus KIA Challengers,Rumble,Vi,Yone,Ezreal,Leona,Ambessa,Sejuani,Azir,Corki,Rell,22
LCKC,Dplus KIA Challengers,BNK FEARX Youth,Maokai,Xin Zhao,Orianna,Varus,Nautilus,Jax,Wukong,Viktor,Kai'Sa,Taric,23
LCKC,T1 Esports Academy,Gen.G Global Academy,Maokai,Viego,Viktor,Ashe,Braum,Jax,Sejuani,Azir,Jhin,Rell,39
LCK,Gen.G,Hanwha Life Esports,Renekton,Nidalee,Hwei,Ashe,Leona,Ambessa,Zyra,Corki,Caitlyn,Bard,12
LCK,Hanwha Life Esports,Gen.G,Ornn,Vi,Aurora,Tristana,Rakan,Jayce,Xin Zhao,Galio,Jinx,Lulu,35
LPL,EDward Gaming,Bilibili Gaming,Rumble,Viego,Viktor,Varus,Rell,K'Sante,Zyra,Corki,Miss Fortune,Alistar,27
LPL,EDward Gaming,Bilibili Gaming,Ambessa,Xin Zhao,Aurora,Xayah,Poppy,Jayce,Vi,Vladimir,Ezreal,Leona,23
LCK,Nongshim RedForce,OKSavingsBank BRION,Rumble,Sejuani,Smolder,Kalista,Elise,Ambessa,Nocturne,Aurora,Varus,Renata Glasc,44
LCP,CTBC Flying Oyster,MGN Vikings Esports,Jax,Sejuani,Yone,Varus,Nautilus,Jayce,Zyra,Renekton,Miss Fortune,Rakan,26
LPL,EDward Gaming,Bilibili Gaming,Gangplank,Lee Sin,Taliyah,Ashe,Braum,Gnar,Wukong,Swain,Jhin,Rakan,35
LCK,OKSavingsBank BRION,Nongshim RedForce,Jax,Zyra,Corki,Ezreal,Leona,Gangplank,Maokai,Azir,Ashe,Rell,30
LCP,CTBC Flying Oyster,MGN Vikings Esports,K'Sante,Xin Zhao,Viktor,Kai'Sa,Alistar,Ambessa,Lee Sin,Orianna,Ezreal,Poppy,22
LCP,MGN Vikings Esports,CTBC Flying Oyster,Sion,Nocturne,Hwei,Jhin,Rell,Gragas,Wukong,Taliyah,Caitlyn,Braum,33
LCP,Fukuoka SoftBank HAWKS gaming,GAM Esports,Rumble,Wukong,Corki,Jhin,Leona,K'Sante,Kindred,Galio,Caitlyn,Lux,27
LCP,Fukuoka SoftBank HAWKS gaming,GAM Esports,Ambessa,Sejuani,Yone,Miss Fortune,Rakan,Jax,Zyra,Renekton,Jinx,Braum,31
LCP,GAM Esports,Fukuoka SoftBank HAWKS gaming,Jayce,Xin Zhao,Aurora,Varus,Alistar,Ornn,Viego,Sylas,Ezreal,Nautilus,21
LCK,Dplus KIA,DN Freecs,Jayce,Lillia,Sett,Varus,Poppy,Ambessa,Sejuani,Corki,Miss Fortune,Leona,30
LCK,DN Freecs,Dplus KIA,Gnar,Vi,Taliyah,Ashe,Nautilus,Rumble,Pantheon,Zilean,Ezreal,Elise,36
LCK,DRX,T1,Ambessa,Vi,Taliyah,Ezreal,Poppy,Jayce,Xin Zhao,Galio,Xayah,Rakan,43
LPL,Top Esports,Team WE,K'Sante,Nocturne,Orianna,Corki,Leona,Jayce,Rengar,Viktor,Varus,Rakan,21
LCK,DRX,T1,Ornn,Wukong,Viktor,Corki,Leona,Rumble,Lee Sin,Aurora,Caitlyn,Elise,22
LPL,Team WE,Top Esports,Renekton,Wukong,Aurora,Ezreal,Braum,Gnar,Vi,Vladimir,Miss Fortune,Alistar,37
LCP,Team Secret Whales,DetonatioN FocusMe,Jayce,Nidalee,Corki,Miss Fortune,Alistar,Ambessa,Zyra,Yone,Ashe,Leona,19
LCP,DetonatioN FocusMe,Team Secret Whales,K'Sante,Vi,Aurora,Kai'Sa,Rakan,Malphite,Wukong,Orianna,Ezreal,Poppy,44
LPL,Team WE,Top Esports,Aatrox,Sejuani,Yone,Ziggs,Pyke,Camille,Zyra,Smolder,Ashe,Rell,36
LCP,PSG Talon,Chiefs Esports Club,Rumble,Sejuani,Corki,Ezreal,Braum,Galio,Viego,Ahri,Varus,Rell,18
LCP,Chiefs Esports Club,PSG Talon,Jayce,Vi,Akali,Caitlyn,Neeko,Udyr,Xin Zhao,Viktor,Miss Fortune,Nautilus,13
LEC,Team Heretics,Rogue,K'Sante,Sejuani,Viktor,Zeri,Rell,Garen,Maokai,Orianna,Varus,Alistar,14
LEC,Team Vitality,Team BDS,Jax,Ivern,Taliyah,Corki,Alistar,Renekton,Sejuani,Azir,Miss Fortune,Rell,24
LEC,GiantX,SK Gaming,Jax,Maokai,Viktor,Ezreal,Rell,Jayce,Xin Zhao,Galio,Jinx,Braum,24
LEC,Movistar KOI,Fnatic,K'Sante,Skarner,Azir,Varus,Rell,Jax,Ivern,Viktor,Miss Fortune,Alistar,21
LEC,Karmine Corp,G2 Esports,Jayce,Sejuani,Viktor,Ezreal,Alistar,Gragas,Wukong,Akali,Miss Fortune,Rell,35
LCK,KT Rolster,Hanwha Life Esports,Rumble,Vi,Galio,Kai'Sa,Leona,Jayce,Xin Zhao,Azir,Xayah,Rakan,28
LCK,KT Rolster,Hanwha Life Esports,Ambessa,Viego,Yone,Ziggs,Alistar,K'Sante,Lee Sin,Akali,Ashe,Rell,30
LCK,BNK FEARX,Gen.G,K'Sante,Zyra,Corki,Ezreal,Alistar,Aurora,Nidalee,Yone,Varus,Leona,47
LPL,Invictus Gaming,Ninjas in Pyjamas,K'Sante,Xin Zhao,Viktor,Miss Fortune,Leona,Maokai,Wukong,Akali,Varus,Braum,32
LCK,BNK FEARX,Gen.G,Jayce,Wukong,Galio,Jinx,Tahm Kench,Ambessa,Xin Zhao,Sylas,Miss Fortune,Rell,32
LPL,Ninjas in Pyjamas,Invictus Gaming,Ambessa,Zyra,Jayce,Jhin,Nautilus,Karma,Vi,Taliyah,Ashe,Rell,24
LCP,GAM Esports,MGN Vikings Esports,Ambessa,Skarner,Viktor,Varus,Alistar,Jax,Viego,Aurora,Ashe,Pyke,33
LPL,Invictus Gaming,Ninjas in Pyjamas,Jax,Nocturne,Aurora,Jinx,Lulu,Renekton,Viego,Ryze,Kai'Sa,Rakan,27
LCP,MGN Vikings Esports,GAM Esports,Jayce,Nocturne,Hwei,Smolder,Poppy,K'Sante,Kindred,Galio,Corki,Elise,25
LPL,Invictus Gaming,Ninjas in Pyjamas,Gragas,Pantheon,Azir,Corki,Poppy,Udyr,Brand,Lee Sin,Ezreal,Alistar,30
LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,Ambessa,Sejuani,Azir,Miss Fortune,Poppy,Jax,Zyra,Yone,Ezreal,Leona,24
LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,Renekton,Wukong,Sylas,Ashe,Braum,Gragas,Xin Zhao,Galio,Corki,Rakan,19
LEC,Team Heretics,SK Gaming,Jax,Maokai,Viktor,Ezreal,Leona,Jayce,Xin Zhao,Galio,Varus,Rell,24
LEC,Movistar KOI,Karmine Corp,K'Sante,Xin Zhao,Ahri,Kalista,Renata Glasc,Rumble,Maokai,Corki,Varus,Rell,33
LEC,G2 Esports,Team BDS,Ambessa,Vi,Sylas,Kalista,Renata Glasc,K'Sante,Sejuani,Orianna,Varus,Seraphine,22
LEC,Fnatic,Team Vitality,Rumble,Skarner,Yone,Ezreal,Rell,Ambessa,Ivern,Azir,Corki,Leona,38
LCKC,KT Rolster Challengers,OKSavingsBank BRION Challengers,Ambessa,Sejuani,Corki,Viktor,Rell,K'Sante,Xin Zhao,Galio,Varus,Rakan,38
LCKC,OKSavingsBank BRION Challengers,KT Rolster Challengers,Jayce,Zyra,Yone,Ashe,Leona,Rumble,Pantheon,Orianna,Jhin,Alistar,46
LPL,JD Gaming,Ultra Prime,K'Sante,Nidalee,Jayce,Ziggs,Leona,Rumble,Xin Zhao,Aurora,Varus,Rell,28
LCKC,BNK FEARX Youth,Gen.G Global Academy,Rumble,Wukong,Yone,Kai'Sa,Taric,K'Sante,Vi,Akali,Ashe,Braum,27
LPL,Ultra Prime,JD Gaming,Renekton,Lillia,Yone,Xayah,Rakan,Maokai,Zyra,Ambessa,Jinx,Nautilus,26
LPL,Ultra Prime,JD Gaming,Jax,Vi,Tryndamere,Kai'Sa,Elise,Ornn,Wukong,Viktor,Ezreal,Galio,25
LCKC,Gen.G Global Academy,BNK FEARX Youth,Ambessa,Nocturne,Aurora,Jhin,Leona,Maokai,Viego,Azir,Ezreal,Alistar,31
LCKC,DN Freecs Challengers,Dplus KIA Challengers,K'Sante,Wukong,Ahri,Varus,Nautilus,Ambessa,Vi,Aurora,Miss Fortune,Rell,45
LCKC,DN Freecs Challengers,Dplus KIA Challengers,Jayce,Kindred,Galio,Aphelios,Lulu,Rumble,Xin Zhao,Orianna,Jinx,Pyke,36
LEC,Team BDS,Rogue,K'Sante,Maokai,Hwei,Corki,Rell,Olaf,Sejuani,Cassiopeia,Kalista,Leona,32
LEC,Team Heretics,Fnatic,Renekton,Ivern,Viktor,Corki,Leona,Jayce,Maokai,Hwei,Varus,Rell,24
LEC,Movistar KOI,Team Vitality,K'Sante,Zyra,Yone,Corki,Rell,Ambessa,Vi,Ahri,Ezreal,Rakan,27
LEC,G2 Esports,SK Gaming,Poppy,Xin Zhao,Viktor,Draven,Rell,K'Sante,Nidalee,Yone,Corki,Leona,25
LEC,GiantX,Karmine Corp,K'Sante,Sejuani,Yone,Corki,Poppy,Ambessa,Vi,Taliyah,Varus,Renata Glasc,13
LCKC,DRX Challengers,Hanwha Life Esports Challengers,Ambessa,Xin Zhao,Viktor,Miss Fortune,Rell,K'Sante,Viego,Azir,Ezreal,Braum,33
LCKC,Hanwha Life Esports Challengers,DRX Challengers,Jax,Kindred,Galio,Caitlyn,Renata Glasc,Poppy,Vi,Aurora,Jhin,Bard,16
LPL,EDward Gaming,ThunderTalk Gaming,K'Sante,Wukong,Taliyah,Varus,Rakan,Poppy,Vi,Ahri,Ashe,Braum,40
LPL,ThunderTalk Gaming,EDward Gaming,Ornn,Xin Zhao,Aurora,Ezreal,Leona,Jayce,Lee Sin,Vladimir,Miss Fortune,Elise,28
LCKC,T1 Esports Academy,Nongshim Esports Academy,K'Sante,Nocturne,Orianna,Miss Fortune,Rell,Ambessa,Sejuani,Azir,Ashe,Leona,29
LPL,EDward Gaming,ThunderTalk Gaming,Rumble,Viego,Ryze,Xayah,Rell,Ambessa,Sejuani,Akali,Jinx,Lulu,29
LCKC,Nongshim Esports Academy,T1 Esports Academy,Jayce,Pantheon,Taliyah,Ezreal,Karma,Irelia,Viego,Aurora,Caitlyn,Elise,31
LPL,EDward Gaming,ThunderTalk Gaming,Renekton,Kha'Zix,LeBlanc,Kalista,Neeko,Sion,Zyra,Yasuo,Ziggs,Nautilus,26
LVP SL,Veni Vidi Vici,Ramboot Club,Sion,Lillia,Yone,Corki,Rell,Ambessa,Skarner,Ahri,Varus,Rakan,43
PRM,Berlin International Gaming,Unicorns of Love Sexy Edition,K'Sante,Vi,Viktor,Xayah,Rakan,Aurora,Wukong,Galio,Aphelios,Rell,16
LVP SL,ZETA,LUA Gaming,Aatrox,Maokai,Yone,Corki,Rell,Rumble,Vi,Azir,Ezreal,Alistar,35
PRM,Berlin International Gaming,Unicorns of Love Sexy Edition,Ambessa,Xin Zhao,Orianna,Corki,Renata Glasc,Jax,Sejuani,Akali,Varus,Lulu,26
LVP SL,UCAM Esports,Barça eSports,Jayce,Wukong,Viktor,Varus,Poppy,Malphite,Amumu,Yone,Corki,Rell,30
LVP SL,Movistar KOI Fénix,Los Heretics,Rumble,Wukong,Aurora,Corki,Rakan,Galio,Maokai,Jayce,Ezreal,Rell,21
LVP SL,GIANTX Pride,Guasones,K'Sante,Vi,Viktor,Kai'Sa,Alistar,Jayce,Sejuani,Hwei,Xayah,Rell,18
PRM,Eintracht Frankfurt,Dung Dynasty,Jayce,Viego,Syndra,Miss Fortune,Rakan,Malphite,Xin Zhao,Hwei,Ashe,Renata Glasc,28
LCK,Dplus KIA,BNK FEARX,Ambessa,Skarner,Ahri,Ziggs,Leona,Rumble,Vi,Yone,Varus,Renata Glasc,26
LCK,BNK FEARX,Dplus KIA,K'Sante,Wukong,Azir,Zeri,Alistar,Jayce,Sejuani,Viktor,Ezreal,Pantheon,23
LPL,LGD Gaming,Team WE,Rumble,Sejuani,Yone,Ezreal,Rell,Galio,Xin Zhao,Aurora,Corki,Leona,23
LCK,Dplus KIA,BNK FEARX,Sion,Viego,Zoe,Ashe,Braum,Renekton,Xin Zhao,Galio,Kalista,Neeko,31
LPL,Team WE,LGD Gaming,K'Sante,Wukong,Akali,Kai'Sa,Rakan,Ambessa,Lee Sin,Taliyah,Varus,Nautilus,28
LCK,DN Freecs,DRX,Ambessa,Vi,Taliyah,Kai'Sa,Rell,Jayce,Pantheon,Aurora,Miss Fortune,Leona,23
LPL,Team WE,LGD Gaming,Ornn,Nocturne,Viktor,Caitlyn,Bard,Jax,Pantheon,Orianna,Ashe,Seraphine,29
LCK,DRX,DN Freecs,K'Sante,Nidalee,Yone,Ezreal,Braum,Rumble,Maokai,Corki,Ashe,Seraphine,10
LCK,DN Freecs,DRX,Gragas,Xin Zhao,Orianna,Kalista,Neeko,Jax,Sejuani,Sylas,Varus,Nautilus,28
LFL,BK ROG Esports,Team BDS Academy,Ambessa,Sejuani,Orianna,Corki,Rakan,Rumble,Vi,Taliyah,Kalista,Rell,45
LVP SL,Los Heretics,Guasones,K'Sante,Viego,Viktor,Corki,Nautilus,Aurora,Sejuani,Yone,Jinx,Rakan,24
PRM,TeamOrangeGaming,E WIE EINFACH E-SPORTS,K'Sante,Xin Zhao,Azir,Kalista,Renata Glasc,Shen,Bel'Veth,Corki,Taliyah,Rell,24
NLC,Bulldog Esports,NORD Esports,Rumble,Maokai,Yone,Jinx,Lulu,Ornn,Viego,Cassiopeia,Ezreal,Karma,28
LIT,Zena Esports,Underworld Esports,K'Sante,Wukong,Sylas,Caitlyn,Renata Glasc,Maokai,Viego,Hwei,Miss Fortune,Rell,21
LFL,Galions,Ici Japon Corp. Esport,K'Sante,Maokai,Viktor,Jinx,Rakan,Jayce,Xin Zhao,Azir,Ezreal,Leona,21
LVP SL,Barça eSports,Veni Vidi Vici,Gnar,Skarner,Azir,Kalista,Renata Glasc,K'Sante,Sejuani,Sylas,Jinx,Lulu,28
PRM,TeamOrangeGaming,E WIE EINFACH E-SPORTS,Rumble,Ivern,Ambessa,Ezreal,Leona,Ornn,Wukong,Akali,Jhin,Rakan,28
LIT,AVE Axolotl,Macko Esports,Maokai,Viego,Galio,Corki,Rell,K'Sante,Vi,Viktor,Kalista,Alistar,21
NLC,Verdant,Lundqvist Lightside,Ambessa,Wukong,Viktor,Varus,Alistar,Jax,Viego,Syndra,Ezreal,Rell,27
LVP SL,Movistar KOI Fénix,ZETA,K'Sante,Lee Sin,Viktor,Corki,Rakan,Jayce,Sejuani,Yone,Veigar,Rell,16
LIT,GMBLERS Esports,EKO Esports,Renekton,Xin Zhao,Azir,Ezreal,Leona,K'Sante,Viego,Galio,Kai'Sa,Rell,20
LFL,Gentle Mates,GameWard,Rumble,Vi,Orianna,Caitlyn,Nautilus,Jayce,Xin Zhao,Syndra,Kalista,Neeko,31
PRM,E WIE EINFACH E-SPORTS,TeamOrangeGaming,Galio,Nocturne,Sylas,Tahm Kench,Senna,Aatrox,Maokai,Aurora,Xayah,Nautilus,23
NLC,Los Ratones,Bulldog Esports,Jax,Jarvan IV,Galio,Corki,Rakan,Ambessa,Maokai,Swain,Varus,Rell,34
LVP SL,GIANTX Pride,UCAM Esports,Rumble,Vi,Syndra,Xayah,Rakan,Aurora,Wukong,Orianna,Ezreal,Leona,21
LFL,Karmine Corp Blue,Joblife,Rumble,Maokai,Corki,Ezreal,Alistar,K'Sante,Xin Zhao,Hwei,Varus,Rell,23
NLC,NORD Esports,Lundqvist Lightside,Rumble,Vi,Viktor,Ezreal,Rakan,K'Sante,Viego,Galio,Varus,Rell,37
PRM,Austrian Force willhaben,Eintracht Spandau,K'Sante,Xin Zhao,Akali,Corki,Leona,Gnar,Viego,Orianna,Varus,Rell,21
LVP SL,Ramboot Club,LUA Gaming,K'Sante,Wukong,Viktor,Varus,Rell,Rumble,Amumu,Yone,Ezreal,Alistar,36
NLC,Verdant,Los Ratones,Rumble,Vi,Yone,Varus,Rell,Sion,Wukong,Azir,Ezreal,Braum,26
PRM,Eintracht Spandau,Austrian Force willhaben,Ornn,Skarner,Cassiopeia,Ezreal,Elise,Gwen,Ivern,Jayce,Ashe,Braum,32
PRM,Austrian Force willhaben,Eintracht Spandau,Maokai,Nocturne,LeBlanc,Miss Fortune,Alistar,Ambessa,Wukong,Azir,Jhin,Bard,41
